"ID","Type","Name","Documentation","Source","Target","Specialization"
"id-37034927d4f14f69a6ecb0b69c49326d","AccessRelationship","","","id-d06ccf1ae590474cb43cf618bb0aa9ac","id-93c8b407558f46109a3d8e3796967bd5",""
"id-bcddcec9a1c14998a07856712df6a59f","AccessRelationship","","","id-971ab8988f764829a043e951d8c66657","id-161235235e044b8992081289a73f1bed",""
"id-242b84590c1944a090cb15bad9bcaa9f","AccessRelationship","","","id-7bda3a0378fb4290a43ea157ed321146","id-0a99bcc52e67492e94feb8682389c7d5",""
"id-41533273953a43dd82429beafcc7d964","AccessRelationship","","","id-609fe0025384453fb82a0d9b5be15452","id-2f1216ba64d44ea4a2e4a60bc71f4417",""
"id-5bd5a3ffd07c486595429f3ccff9f1a0","AccessRelationship","","","id-42d88fd29a554743ad59957bb2c91e22","id-4ae3cba96fff47889202a780ab8947a7",""
"id-f4a47422572e408b82b232244741cbfc","AccessRelationship","","","id-42d88fd29a554743ad59957bb2c91e22","id-667ba595cea94e64a3a1e82a96df472e",""
"id-c5b4892759ae489ebe87301f5787bba1","AccessRelationship","","","id-552bcdb50c4e403e9c2f402e76da487d","id-667ba595cea94e64a3a1e82a96df472e",""
"id-e45c96d4ee6449d8b76ac35e28fda0b4","AccessRelationship","","","id-42d88fd29a554743ad59957bb2c91e22","id-9e4b8ae2a95141769ad1f4ae204d658c",""
"id-7298d2ff9ebd4a8aa878df28301bc339","AccessRelationship","","","id-6810119e4eab4619b0c64640fea3af2a","id-9e4b8ae2a95141769ad1f4ae204d658c",""
"id-143eebfb77d84b13be6452e717112edc","AccessRelationship","","","id-42d88fd29a554743ad59957bb2c91e22","id-214b85dea0644a4b8f4e0f5b2b3df7f1",""
"id-567f8e921f3848c08aec34d8a277e31d","AccessRelationship","","","id-6cb5800b5b2b4a33807c1447aa74bd9e","id-214b85dea0644a4b8f4e0f5b2b3df7f1",""
"id-c60e7f6ddfc241ac8d941c4dd160c2c6","AccessRelationship","","","id-660880dcc23848fd8de98711d6c3a2b3","id-cab1346c3ad64722a52249962e4e6788",""
"id-545a81998de648da8834e2a40c0f1ff4","CompositionRelationship","","","id-971ab8988f764829a043e951d8c66657","id-8fa90f9c2992431d9cea4f193a813198",""
"id-e60bbd7a4c9942958613a00839d09215","CompositionRelationship","","","id-971ab8988f764829a043e951d8c66657","id-7b4c7f7ee87b4dd3a140f8efeda95f4a",""
"id-0bf83b53e7844299a91de354b2ed21dc","CompositionRelationship","","","id-971ab8988f764829a043e951d8c66657","id-ccce6721c1f74c4abf8123d7238f5a08",""
"id-336aa9e962d348c2aa076f645216869d","CompositionRelationship","","","id-971ab8988f764829a043e951d8c66657","id-0ef6c0ff7d1a4461ae54ebee9afcf699",""
"id-7c1a95a937a040ae8e056690e7cb141f","CompositionRelationship","","","id-971ab8988f764829a043e951d8c66657","id-ed287874d71f43359527ee8032f108ad",""
"id-a0cfa923736648f59c9739ad5b01ad20","CompositionRelationship","","","id-971ab8988f764829a043e951d8c66657","id-33bdf3800ad14197b56fb2dc13256b54",""
"id-00abc79951994cf7927c73d8e3b47be1","CompositionRelationship","","","id-660880dcc23848fd8de98711d6c3a2b3","id-b4a33b7d5fe74761bd2e07c818222057",""
"id-caa2725b864647f4bd5866e02e0c019e","CompositionRelationship","","","id-660880dcc23848fd8de98711d6c3a2b3","id-217369416e8648aca0aa20d719e4f66e",""
"id-24a31d24b4284bd484310832dd4bd20a","CompositionRelationship","","","id-660880dcc23848fd8de98711d6c3a2b3","id-3c38e76d17fd4b4dae645bbf1db355c2",""
"id-8fa4c8c278f64c70a74e5308ed2e879b","CompositionRelationship","","","id-7bda3a0378fb4290a43ea157ed321146","id-6918d1f7f3fd495a98616fbe1e5bd5f6",""
"id-2e6e8e72cecd4ab39e954bff4b3a5f1c","CompositionRelationship","","","id-7bda3a0378fb4290a43ea157ed321146","id-26f6d770f5314b38b9a923e513e2d1a1",""
"id-95437355c5e3436c8a8151faffd024e4","CompositionRelationship","","","id-7bda3a0378fb4290a43ea157ed321146","id-203f40af0d8f450ba8dc47962e5014ff",""
"id-9272aa9b9aad4d1dbf4371e3c42ac8e7","CompositionRelationship","","","id-7bda3a0378fb4290a43ea157ed321146","id-66a26b34aa2b4c8fb55cfc9ac534d50b",""
"id-06c633c1731b48a88566cbb80b8dd089","CompositionRelationship","","","id-7bda3a0378fb4290a43ea157ed321146","id-ed12e58a8df943d884c4d0c3b15555d1",""
"id-408f87efa2a9473ea0f3b57f83eea07b","CompositionRelationship","","","id-7bda3a0378fb4290a43ea157ed321146","id-956fdf7c322e43939f346b42497a9c40",""
"id-a3746f405e3c40c3b6df84beddf22b30","CompositionRelationship","","","id-7bda3a0378fb4290a43ea157ed321146","id-e97a3121a75c458586c38ec78bd410dc",""
"id-a4327c1d86534cc084a8ecc60146df1a","CompositionRelationship","","","id-7bda3a0378fb4290a43ea157ed321146","id-b33da51e1acf4bad8bfe0240fcaf2a23",""
"id-7a5730db6067403a988c1cfbefd4ab97","CompositionRelationship","","","id-7bda3a0378fb4290a43ea157ed321146","id-7039b346f9644bf290a9ca947946c479",""
"id-7056a7a8c77a41918dc02eb5e9d6ac39","CompositionRelationship","","","id-7bda3a0378fb4290a43ea157ed321146","id-cb7fac64eeb14b49adbf9af5c8c84cc2",""
"id-c35c8688e85f4e139b0e0e60ff951f39","CompositionRelationship","","","id-4439386868ad40398c78f246442f085f","id-52e897ae4e6148408807ba0ca28d6d18",""
"id-de1cdcc8e15244e696b5215be88e1fd5","CompositionRelationship","","","id-4439386868ad40398c78f246442f085f","id-50bf18a4ef8849e7b310003f8386a5a7",""
"id-1bee6c488a3a47e6aa2e70fe1f1098ff","CompositionRelationship","","","id-4439386868ad40398c78f246442f085f","id-2014c75999074443b03230580ad2487a",""
"id-174246a1eba0430f8d5c92ed1e075832","CompositionRelationship","","","id-4439386868ad40398c78f246442f085f","id-6af5f83093e24392b96e9deb3f2d9562",""
"id-9eac383f0c0141cba8fc486bbc1ccbca","CompositionRelationship","","","id-4439386868ad40398c78f246442f085f","id-ad7880db84644f0a95aa8e963831ffef",""
"id-fc149821063e4fc58e37d75f24b32796","CompositionRelationship","","","id-cb7fac64eeb14b49adbf9af5c8c84cc2","id-fbdd80b6606a4f1896937c4335c8edd8",""
"id-f15f68fdf60b4c39affa5ee8523bc2f0","CompositionRelationship","","","id-0c638825bbcb4d77bd67d46f60d0e457","id-8e69bdbb2bb9474080688f069707c9e9",""
"id-e57c27f8f476461a8a8c7d2af15fe155","CompositionRelationship","","","id-0c638825bbcb4d77bd67d46f60d0e457","id-41107b438ea64b808823ad8b72ba357e",""
"id-f8df6a52152d4c1f81a1a620df358a36","CompositionRelationship","","","id-609fe0025384453fb82a0d9b5be15452","id-a25a4549485e4610840c0dfefb1187f2",""
"id-6e840011b25e440792baf9c682dcd61b","CompositionRelationship","","","id-609fe0025384453fb82a0d9b5be15452","id-1ac1b82d296346349a0e640604149dde",""
"id-f910916962f44b32998f9ee69d9d5cde","CompositionRelationship","","","id-42d88fd29a554743ad59957bb2c91e22","id-552bcdb50c4e403e9c2f402e76da487d",""
"id-8631e1d239084dbeaf99488aa7b3aeb0","CompositionRelationship","","","id-42d88fd29a554743ad59957bb2c91e22","id-6cb5800b5b2b4a33807c1447aa74bd9e",""
"id-e5edab282cb04cfcbd500790a8c503b5","CompositionRelationship","","","id-42d88fd29a554743ad59957bb2c91e22","id-6810119e4eab4619b0c64640fea3af2a",""
"id-6480421961df4b82b4667670c3112bd4","CompositionRelationship","","","id-3e8cfb40a0fa44699ab34d3727c7b350","id-9806686fba9947859321d45d9d12c3ee",""
"id-6b04a9b6650945e7beb04046c81773c0","FlowRelationship","","","id-6918d1f7f3fd495a98616fbe1e5bd5f6","id-971ab8988f764829a043e951d8c66657",""
"id-c33cdfb47da9462880342a40b5ae30fc","FlowRelationship","","","id-55a0e47538fc414cb0fc639b04687017","id-971ab8988f764829a043e951d8c66657",""
"id-3cba169d831e4c0dbc3f8212541fb0fd","FlowRelationship","","","id-971ab8988f764829a043e951d8c66657","id-55a0e47538fc414cb0fc639b04687017",""
"id-7abd723413144bbe97c18bfdab056d19","FlowRelationship","","","id-971ab8988f764829a043e951d8c66657","id-bff29036bcbb4b2f8ac96d21cfc1216f",""
"id-21ba713caa13492092d3cc7580514e43","FlowRelationship","","","id-bff29036bcbb4b2f8ac96d21cfc1216f","id-971ab8988f764829a043e951d8c66657",""
"id-d4b59aec232d4161ab59d95f4539e55d","FlowRelationship","","","id-9806686fba9947859321d45d9d12c3ee","id-3e8cfb40a0fa44699ab34d3727c7b350",""
"id-bcbee5c4133d4ca0952bb12f9efc1c3d","FlowRelationship","","","id-3e8cfb40a0fa44699ab34d3727c7b350","id-9806686fba9947859321d45d9d12c3ee",""
"id-c98836ee9a894ae78b784797c1a41c7a","FlowRelationship","1. Abertura do Processo","","id-3e8cfb40a0fa44699ab34d3727c7b350","id-9806686fba9947859321d45d9d12c3ee",""
"id-93439682250446198f8f809a7ca2907a","FlowRelationship","2. teste","","id-3e8cfb40a0fa44699ab34d3727c7b350","id-9806686fba9947859321d45d9d12c3ee",""
"id-670fd91ca59946a2be3dfd76c721134e","FlowRelationship","Envio de pedido de depósito de Banco Comercial","","id-609fe0025384453fb82a0d9b5be15452","id-cb7fac64eeb14b49adbf9af5c8c84cc2",""
"id-1a2dca231f2944049765e5e9d1daf483","FlowRelationship","Input Compass","","id-660880dcc23848fd8de98711d6c3a2b3","id-6918d1f7f3fd495a98616fbe1e5bd5f6",""
"id-4f5e1260e769405691ebec12a8148d40","FlowRelationship","Instrução de pagamento em ME e MN","","id-971ab8988f764829a043e951d8c66657","id-6918d1f7f3fd495a98616fbe1e5bd5f6",""
"id-f06b06bf27f043e896725d0852c96853","FlowRelationship"," Notificar conclusão do processo de depósito","","id-cb7fac64eeb14b49adbf9af5c8c84cc2","id-609fe0025384453fb82a0d9b5be15452",""
"id-b9a3ee28012c4a7e86081d11aee12423","FlowRelationship","Output-SAP FI","","id-6918d1f7f3fd495a98616fbe1e5bd5f6","id-660880dcc23848fd8de98711d6c3a2b3",""
"id-475ad6db4a02420684e31ecff6c73420","RealizationRelationship","","","id-55a0e47538fc414cb0fc639b04687017","id-971ab8988f764829a043e951d8c66657",""
"id-7e63b10b84b04b4eb47e4e68933644c2","RealizationRelationship","","","id-708e6ee5d7404c33bca74512ae0b1a37","id-660880dcc23848fd8de98711d6c3a2b3",""
"id-5370373bd7b84962a8bc8b2c2d151dd8","RealizationRelationship","","","id-ec997dd06b49414980075ab85e4f34d3","id-660880dcc23848fd8de98711d6c3a2b3",""
"id-84158bc645e6417fa300d29d4fdd5157","RealizationRelationship","","","id-b10c71c9db5f433da9fa121e987f8f65","id-660880dcc23848fd8de98711d6c3a2b3",""
"id-0cd46af428fa4573998f14e5753f4a12","RealizationRelationship","","","id-a61a78583db54d9ebe6c89f5c742de59","id-660880dcc23848fd8de98711d6c3a2b3",""
"id-4994e85f51f54ca2a07b189703288418","ServingRelationship","","","id-971ab8988f764829a043e951d8c66657","id-6918d1f7f3fd495a98616fbe1e5bd5f6",""
"id-4307ad07c94f44d688d31f89f204c7ad","ServingRelationship","","","id-6918d1f7f3fd495a98616fbe1e5bd5f6","id-971ab8988f764829a043e951d8c66657",""
"id-df06053bc29f4ba794af0599a44369f8","ServingRelationship","Registos de operaçoes de Deposito, Obrigaçoes","","id-55a0e47538fc414cb0fc639b04687017","id-971ab8988f764829a043e951d8c66657",""
"id-a866e20ab2b5416bab5545676b458484","SpecializationRelationship","","","id-6cb5800b5b2b4a33807c1447aa74bd9e","id-552bcdb50c4e403e9c2f402e76da487d",""
"id-82e5692261de4fa1b7c6817587f6361f","SpecializationRelationship","","","id-552bcdb50c4e403e9c2f402e76da487d","id-6cb5800b5b2b4a33807c1447aa74bd9e",""
"id-500eac8c46f44db29606787a1d04e4cb","SpecializationRelationship","","","id-d06ccf1ae590474cb43cf618bb0aa9ac","id-971ab8988f764829a043e951d8c66657",""
"id-f8a65936ee8c40cabebfa76b6d2ebe14","SpecializationRelationship","","","id-971ab8988f764829a043e951d8c66657","id-d06ccf1ae590474cb43cf618bb0aa9ac",""
"id-30079e52466049f6aebb9b4461f2942b","SpecializationRelationship","","","id-d06ccf1ae590474cb43cf618bb0aa9ac","id-6918d1f7f3fd495a98616fbe1e5bd5f6",""
"id-1cce3b4daf3d431aa8e764767fecca2e","SpecializationRelationship","","","id-6918d1f7f3fd495a98616fbe1e5bd5f6","id-d06ccf1ae590474cb43cf618bb0aa9ac",""
"id-3d078aba315341af8d3304a568b298a3","SpecializationRelationship","","","id-d06ccf1ae590474cb43cf618bb0aa9ac","id-c8f3d8133fb146a0946380cf560fe28e",""
"id-a25229865919471db91fa143d35ccee4","SpecializationRelationship","","","id-c8f3d8133fb146a0946380cf560fe28e","id-d06ccf1ae590474cb43cf618bb0aa9ac",""
"id-f49409aa1df044ff854edd2ad64c0a2e","SpecializationRelationship","","","id-3e8cfb40a0fa44699ab34d3727c7b350","id-9806686fba9947859321d45d9d12c3ee",""
"id-d93b558b5ef44d13b4be0a1e67d78092","SpecializationRelationship","","","id-3e8cfb40a0fa44699ab34d3727c7b350","id-9806686fba9947859321d45d9d12c3ee",""
"id-db55ed8eb65f43999074ca00ae8e2353","SpecializationRelationship","","","id-3e8cfb40a0fa44699ab34d3727c7b350","id-3e8cfb40a0fa44699ab34d3727c7b350",""
"id-7fe212fe3ee142caa540bb99e77126ac","SpecializationRelationship","","","id-d82824ccc1ba47839f2020dc2282cd9f","id-3e8cfb40a0fa44699ab34d3727c7b350",""
"id-da4efd1c5f714f0c8c1fe63f35645b9a","SpecializationRelationship","2. Envio do Processo ","","id-3e8cfb40a0fa44699ab34d3727c7b350","id-9806686fba9947859321d45d9d12c3ee",""
"id-c0e75a225a5349c8bb64beb38b08910e","SpecializationRelationship","3. Consulta do Estado do Processo ","","id-3e8cfb40a0fa44699ab34d3727c7b350","id-9806686fba9947859321d45d9d12c3ee",""
"id-4ca93070e33149dcaeb10f14d2530245","SpecializationRelationship","ID do registo no SAP","","id-cb7fac64eeb14b49adbf9af5c8c84cc2","id-609fe0025384453fb82a0d9b5be15452",""
"id-fdf17c00676c44f2ac4adb2963049208","SpecializationRelationship","Liquidação","","id-cb7fac64eeb14b49adbf9af5c8c84cc2","id-c8f3d8133fb146a0946380cf560fe28e",""
"id-7964ba96ae5546ea980cf5e2dd70ff57","SpecializationRelationship","Registo de deposito/Levantamento","","id-609fe0025384453fb82a0d9b5be15452","id-cb7fac64eeb14b49adbf9af5c8c84cc2",""
"id-8316d77f5db542edb98a7f63dd8b6c1a","SpecializationRelationship","Resposta ACK /NACK","","id-c8f3d8133fb146a0946380cf560fe28e","id-cb7fac64eeb14b49adbf9af5c8c84cc2",""
"id-0c15fb7b7c8442f1b7654595bc67b31f","TriggeringRelationship","","","id-971ab8988f764829a043e951d8c66657","id-971ab8988f764829a043e951d8c66657",""